"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Ordenanza",6149,1996,"Código Urbano. Sección 5º.Calle Pública Nº 2002 y Nº 2104. Ancho oficial. Modificación. Calle sustituta. Creación. Sección 3º. Distrito Industrial J1-8 y Distrito Rural L1-10. Límites.Modificación. FRIMETAL S.A. Contraprestaciones.","28/03/1996","24/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33814"
"Ordenanza",6148,1996,"Derecho de Acceso a Diversiones y Espectáculos. Grávamen Adicional. Disposición.","28/03/1996","26/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=53058"
"Ordenanza",6147,1996,"Plazoleta ""Leonidas Gambertes"". Designación.","28/03/1996","22/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77399"
"Ordenanza",6146,1996,"Ordenanza Nº 4701. Centro de la Juventud. Creación. Modificación.","28/03/1996","16/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=53060"
"Ordenanza",6145,1996,"Medio Boleto Escolar Secundario. Entrega gratuita de solicitudes y credencial. Disposición.","28/03/1996","08/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77398"
"Ordenanza",6144,1996,"Cartel - aviso en Vehículos. Quejas. Denuncias. Humo Negro. Gases tóxicos.Exceso. Dirección General de Política Ambiental.   Contaminación ambiental.  Verificación. Actas de comprobación. Tribunal de Faltas. Remisión.","21/03/1996","22/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=37631"
"Ordenanza",6143,1996,"""Parque de los Ferrovierios"". Denominación.","21/03/1996","09/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77396"
"Ordenanza",6142,1996,"Consejo Municipal del Deporte. Creación.","21/06/1996","18/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=39605"
"Ordenanza",6141,1996,"Ordenanza 5118. Arbolado público. Modificación.","21/03/1996","11/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77395"
"Ordenanza",6140,1996,"Recorrido línea 114 Transporte Urbano de Pasajeros. Modificación.","21/03/1996","11/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77394"
"Ordenanza",6139,1996,"Código Urbano. Sección 5º. Area: Camino Previsón y Hogar - Av. San Martín - ex zona de vias del Ferrocarril Belgrano -Autopista Rosario-Buenos Aires. Trazado oficial. Aprobación.","21/03/1996","16/04/1996",,,,"SI","https://ssl.rosario.gov.ar/mr/normativa/otras-normas/ordenanzas/ordenanza-6139-1996"
"Ordenanza",6138,1996,"Decreto 2305/1976. Transporte de sustancias y productos alimenticios. Registro de introductores y repartidores. Habilitación de vehículos. Clasificación. Artículo 5º. Modificación.","14/03/1996","27/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77392"
"Ordenanza",6137,1996,"Diversas actividades culturales y artísticas. Vía Pública. Horario. Fijación.","14/03/1996","11/06/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=38562"
"Ordenanza",6136,1996,"Préstamo. Autorización del Concejo Municipal al Departamento  Ejecutivo. Garantía. Aplicación.","14/03/1996","19/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=33822"
"Ordenanza",6135,1996,"Contrato de Comodato Gratuito. Federación Cooperadoras Escolares del Departamento Rosario. Propiedad Felipe Moré Nº 929 (ex tabacalera Colón). Autorización.","14/03/1996","02/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=66115"
"Ordenanza",6134,1996,"Régimen de contratación servicios de mantenimiento de calzadas asfálticas. Pliego de condiciones generales y especificaciones técnicas. Aprobación.","14/03/1996","02/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77391"
"Ordenanza",6133,1996,"Código Urbano. Sección 3º. Distrito L3-1/R5-2. Modificación. Distrito H2-13. Incorporación. Usos permitidos. Llamado a Concurso Nacional Unificado de Ideas Urbanísticas y Anteproyecto. Encomendación. Áreas Públicas. Äreas a concesionar.","14/03/1996","08/04/1998",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=9788"
"Ordenanza",6132,1996,"Ordenanza 5872. Código Urbano. Derogación.","14/03/1996","08/04/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77390"
"Ordenanza",6131,1996,"Ordenanza Nº 6088. Transporte Urbano de Pasajeros. Tarjeta Magnética. Plazos. Prórroga.","14/03/1996","26/03/1996",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77389"
