"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","FEC_PROMULGACION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Declaración Concejo Municipal",5327,2012,"Interés Municipal la campaña de colecta de libros infantiles ""Doná Cuentos Infantiles"".","20/09/2012","03/10/2012",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=87722"
"Declaración Concejo Municipal",5315,2012,"Conmemoración. Aniversario Nº 160 de la Declaración de Rosario como ciudad. Adhesión.","02/08/2012","23/08/2012",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=85798"
"Declaración Concejo Municipal",5256,2012,"Interés. ""2 de Abril - Día Mundial de Concientización sobre el Autismo"". Declaración. Adhesión.","29/03/2012","04/04/2012",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=83717"
"Declaración Concejo Municipal",5240,2012,"Ley de Identidad de Género. Media sanción. Conformidad.","23/02/2012","09/03/2012",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=82504"
"Declaración Concejo Municipal",5174,2011,"Ex-presos políticos de Rosario. Pensión no contributiva. Solicitud.","25/08/2011","15/09/2011",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=78840"
"Declaración Concejo Municipal",5162,2011,"Visitante Distinguido. Carlitos Balá. Declaración.","04/08/2011","16/08/2011",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77335"
"Declaración Concejo Municipal",5159,2011,"Interés Municipal. Seminario ""Repensando el mundo del trabajo en el siglo XXI"". Declaración.","04/08/2011","24/08/2011",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=79041"
"Declaración Concejo Municipal",5158,2011,"Interés Municipal. ""VI Jornadas de Docentes Universitarios de Sistemas y Tecnologías de Información de Facultades de Ciencias Económicas - DUTI 2011"". Declaración.","04/08/2011","15/08/2011",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=77116"
"Declaración Concejo Municipal",5068,2010,"Interés Municipal. ""Primer Encuentro de Poetas Virtuales"". Declaración.","26/08/2010","13/09/2010",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=70972"
"Declaración Concejo Municipal",5016,2010,"Interés Municipal. ""Festival de Solidaridad Todos por Haiti"". Declaración.","26/02/2010","22/03/2010",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=66397"
"Declaración Concejo Municipal",4972,2009,"Interés Municipal. ""Jornadas de restauración y pintada colectiva de murales en paredes linderas a Plaza Lisandro de la Torre"". Declaración.","15/10/2009","22/10/2009",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=63534"
"Declaración Concejo Municipal",4969,2009,"Interés Municipal. ""Primer Concurso Zonal de Equitación Adaptada de NOEA (Nuevas Olimpíadas Especiales - Argentina). Declaración.","15/10/2009","26/10/2009",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=63606"
"Declaración Concejo Municipal",4968,2009,"Interés Municipal. ""Jugadores de ajedrez que concurran al Campeonato Mundial"". Declaración.","15/10/2009","26/10/2009",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=63605"
"Declaración Concejo Municipal",4918,2009,"Interés Municipal. ""Celebración del 150º Aniversario de la Fundación Original de la Iglesia San José de la Caridad"". Declaración.","23/04/2009","04/05/2009",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=57690"
"Declaración Concejo Municipal",2501,1991,"Fondo de Asistencia Educativa. Aportes. Cumplimiento","05/06/1991","18/06/1991",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=66499"
