"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Resolución",424,2024,"Tasa General de Inmuebles y sus adicionales 2025. Opción pago anticipado. Vencimiento. Fijación.","26/12/2024",1795,2024,"27/12/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239423"
"Resolución",423,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","26/12/2024",1795,2024,"27/12/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=239422"
"Resolución",308,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","25/09/2024",1750,2024,"25/09/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=234328"
"Resolución",246,2024,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","30/09/2024",1753,2024,"02/10/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=234895"
"Resolución",206,2024,"Letras del Tesoro. Serie VIII. Emisión. Disposición.","02/07/2024",1714,2024,"03/07/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=228075"
"Resolución",205,2024,"Letras del Tesoro. Serie VII. Emisión. Disposición.","02/07/2024",1714,2024,"03/07/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=228071"
"Resolución",194,2024,"Resolución Nº 095/2024. Secretaria de Hacienda y Economía. Modificación.","27/06/2024",1711,2024,"28/06/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=227788"
"Resolución",187,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación. Aplicación. Inicio.","24/06/2024",1709,2024,"25/06/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=227525"
"Resolución",168,2024,"Plataforma Electrónica de Transporte. Cargo adicional. Máximo a percibir. Disposición.","05/08/2024",1726,2024,"07/08/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=231163"
"Resolución",95,2024,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","31/05/2024",1699,2024,"31/05/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=226373"
"Resolución",95,2024,"Emisión de bonos. ""Programa de Financiamiento de Pavimento a Nivel Definitivo e Infraestructura Vinculada correspondiente a valores del 2023"". Disposición.","09/04/2024",1683,2024,"10/04/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=223714"
"Resolución",78,2024,"Tasa General de Inmuebles y sus Adicionales. Emisión. Adecuación.","22/03/2024",1675,2024,"25/03/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=223015"
"Resolución",59,2024,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","29/02/2024",1665,2024,"04/03/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=221282"
"Resolución",54,2024,"Permiso de venta ambulante. Renovación. Plazo. Disposición.","21/05/2024",1694,2024,"23/05/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=225832"
"Resolución",32,2024,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","26/01/2024",1654,2024,"31/01/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=219487"
"Resolución",1625,2023,"Patente única sobre Vehículos. Dirección Cobranza Judicial. Abogados. Cobro períodos fiscales vencidos (4, 5 y 6) 2019 y 2020. Encomendación.","18/12/2023",1632,2023,"19/12/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=217161"
"Resolución",1510,2023,"Funciones de Intendente Municipal. Dr. Pablo Javkin. Reasunción.","15/11/2023",1614,2023,"16/11/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=215605"
"Resolución",1475,2023,"Funciones de Intendente Municipal. Presidenta del Concejo Municipal Mg. María Eugenia Schmuck. Delegación.","02/11/2023",1610,2023,"03/11/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=214594"
"Resolución",514,2023,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","28/11/2023",1630,2023,"14/12/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=217048"
"Resolución",505,2023,"Derecho de Registro e Inspección, sus adicionales y Contribución ETUR. Régimen Simplificado. Contribuyentes. Obligación. Disposición.","29/12/2023",1640,2024,"03/01/2024","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=217633"
"Resolución",485,2023,"Tasa General de Inmuebles y sus adicionales 2024. Opción de pago anticipado. Fecha de vencimiento. Fijación.","27/12/2023",1638,2023,"28/12/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=217522"
"Resolución",472,2023,"Tasa General de Inmuebles y adicionales. Emisión. Adecuación.","19/12/2023",1633,2023,"20/12/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=217240"
"Resolución",440,2023,"Emisión Serie VI Letras del Tesoro. Disposición.","30/11/2023",1623,2023,"04/12/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=216505"
"Resolución",433,2023,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Fijación.","21/09/2023",1586,2023,"21/09/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=211337"
"Resolución",400,2023,"Fijación de costos. Servicio Público de Transporte Urbano Pasajeros. Disposición.","31/08/2023",1586,2023,"21/09/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=211338"
"Resolución",291,2023,"Tasa General de Inmuebles y adicionales. Emisión. Adecuación.","13/09/2023",1583,2023,"14/09/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=210989"
"Resolución",249,2023,"Servicio Público de Transporte Urbano Pasajeros. Cuadro tarifario. Vigencia. Fijación.","30/05/2023",1534,2023,"09/06/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=206837"
"Resolución",218,2023,"Documento base. Política de Evaluación Municipal. Aprobación.","24/02/2023",1486,2023,"01/03/2023","NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=202544"
