"TIPO","NUMERO","ANIO","ASUNTO","FEC_SANCION","NRO_BOLETIN","ANIO_BOLETIN","FEC_PUBLICACION_BOLETIN","FUE_ACTUALIZADA","TEXTO_VIGENTE_NORMA"
"Convenio",394,2023,"Convenio. MSR Constructora S.A..","27/06/2023",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=207566"
"Convenio",229,2021,"Convenio. Universidad Nacional de Rosario. Asociaciones Civiles Comunitarias.","01/11/2021",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=181152"
"Convenio",99,2016,"Convenio. Instituto Superior de Educación Física Nº 11 ""Abanderado Mariano Grandoli"".","27/12/2016",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=119303"
"Convenio",10,2013,"Convenio. Asociación Vecinal Barrio Industrial y Biblioteca Popular Amor al Estudio.","05/11/2013",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=94868"
"Convenio",6,2013,"Convenio. Fideicomiso Urquiza y Moreno.","25/09/2013",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=93479"
"Convenio",3,2013,"Convenio de Estudio y Estructuración Financiera. Banco Municipal de Rosario.","28/08/2013",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=92841"
"Convenio",2,2013,"Convenio de Préstamo de Uso Gratuito de Inmueble. Secretaría de Inclusión de Personas con Discapacidad.","20/08/2013",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=92840"
"Convenio",1,2013,"Convenio de Colaboración. Colegios de Profesionales de la ciudad de Rosario.","16/08/2013",,,,"NO","https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=92566"
