_category,_link_col,NUMERO,ANIO,PUBLICACION,CANTIDAD_NORMAS,LINK,TIPO,ASUNTO,FEC_SANCION,NRO_BOLETIN,ANIO_BOLETIN,FEC_PUBLICACION_BOLETIN,FUE_ACTUALIZADA,TEXTO_VIGENTE_NORMA,FEC_PROMULGACION
decretos,TEXTO_VIGENTE_NORMA,950,2026,,,,Decreto,"Licitación Pública ''Intervenciones en Pavimento Definitivo de Hormigón"". Adjudicación",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263391,
decretos,TEXTO_VIGENTE_NORMA,949,2026,,,,Decreto,"Licitación Pública ""Espacios públicos y obras complementarias"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263376,
decretos,TEXTO_VIGENTE_NORMA,948,2026,,,,Decreto,"Licitación Pública ""Terraplén B° Las Flores Sur - Sector Colectora"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263378,
decretos,TEXTO_VIGENTE_NORMA,947,2026,,,,Decreto,"Licitación Pública ""Pavimentación asfáltica y rehabilitación de estructuras flexibles en la Ciudad de Rosario"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263375,
decretos,TEXTO_VIGENTE_NORMA,946,2026,,,,Decreto,"Licitación Pública ""Reacondicionamiento de Obras Hidráulicas - Sistema Modular 2026"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263371,
decretos,TEXTO_VIGENTE_NORMA,945,2026,,,,Decreto,"Licitación Pública ""Parque de la Colectora - Etapa 2"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263369,
decretos,TEXTO_VIGENTE_NORMA,944,2026,,,,Decreto,"Licitación Pública ""Adquisición de artículos varios de impresión"". Adjudicación.",19/06/2026,2053,2026,19/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263368,
decretos,TEXTO_VIGENTE_NORMA,943,2026,,,,Decreto,Programa de Letras del Tesoro 2026. Emisión. Condiciones. Disposición.,18/06/2026,2052,2026,18/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263357,
decretos,TEXTO_VIGENTE_NORMA,942,2026,,,,Decreto,"Licitación Pública ""Contratación del servicio de seguridad y vigilancia privada CMD Centro Antonio Berni"". Prórroga.",18/06/2026,2052,2026,18/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263315,
decretos,TEXTO_VIGENTE_NORMA,940,2026,,,,Decreto,"Distinción especial ""Orden del Rosario"". ""Asociación Civil Amigos del Voluntariado 
de la Maternidad Martin"". ""Servicio de Voluntarias del Hospital Roque Sáenz Peña"". 
""Servicio de Voluntarios del Hospital de Niños Victor J. Vilela"". Otorgamiento.",16/06/2026,2051,2026,16/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263179,
decretos,TEXTO_VIGENTE_NORMA,939,2026,,,,Decreto,Día de la Bandera. Sexagésimo noveno aniversario inauguración oficial Monumento Nacional a la Bandera. Embanderamiento. Invitación. Inmuebles municipales. Disposición.,16/06/2026,2051,2026,16/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263177,
decretos,TEXTO_VIGENTE_NORMA,933,2026,,,,Decreto,Decreto Nº 68.061. Plazo. Prórroga.,16/01/2026,2051,2026,16/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263160,
decretos,TEXTO_VIGENTE_NORMA,930,2026,,,,Decreto,"Licitación Pública ""Nacional e internacional para la concesión del ex predio La Rural ubicado en el Parque Independencia de la ciudad de Rosario, Provincia de Santa Fe"". Adjudicación.",12/06/2026,2050,2026,12/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263099,
decretos,TEXTO_VIGENTE_NORMA,928,2026,,,,Decreto,"Licitación Pública ""Contratación de un servicio integral de transporte aéreo sanitario (HEMS)"". Pliego de bases y condiciones. Aprobación. Llamado.",12/06/2026,2050,2026,12/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263075,
decretos,TEXTO_VIGENTE_NORMA,923,2026,,,,Decreto,"Licitación Pública ""Contratación del Servicio de Limpieza en el Hospital de Niños Víctor J. Vilela"". Pliego de bases y condiciones. Aprobación. Llamado.",12/06/2026,2050,2026,12/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=263069,
decretos,TEXTO_VIGENTE_NORMA,913,2026,,,,Decreto,"Licitación Pública ""Ampliación y Reforma Centro de Salud Ceferino Namuncurá-Etapa 2"". Adjudicación.",11/06/2026,2049,2026,11/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262996,
decretos,TEXTO_VIGENTE_NORMA,909,2026,,,,Decreto,"Licitación Pública ""Sellado de juntas, grietas y fisuras en pavimentos de hormigón"". Legajo. Aprobación. Llamado.",10/06/2026,2048,2026,10/06/2026,NO,https://www.rosario.gob.ar/normativa/ver/visualExterna.do?accion=verNormativa&idNormativa=262948,
